grafana  | ✔ Downloaded and extracted grafana-opensearch-datasource v2.24.0 zip successfully to /var/lib/grafana/plugins/grafana-opensearch-datasource
grafana  | logger=migrator t=2025-04-11T12:35:48.927012461Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.928643378Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=1.630584ms
grafana  | logger=migrator t=2025-04-11T12:35:48.929968045Z level=info msg="Executing migration" id="create temp_user v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.930433753Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=466µs
grafana  | logger=migrator t=2025-04-11T12:35:48.931629545Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.931907128Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=277.959µs
grafana  | logger=migrator t=2025-04-11T12:35:48.934963836Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.954313586Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=19.34725ms
grafana  | logger=migrator t=2025-04-11T12:35:48.984875878Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.004466961Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=19.590042ms
grafana  | logger=migrator t=2025-04-11T12:35:49.032027836Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.043332461Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=11.303959ms
grafana  | logger=migrator t=2025-04-11T12:35:49.071969628Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.082342586Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=10.371625ms
grafana  | logger=migrator t=2025-04-11T12:35:49.10677567Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
grafana  | logger=migrator t=2025-04-11T12:35:49.12535867Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=18.564625ms
grafana  | logger=migrator t=2025-04-11T12:35:49.154022128Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
grafana  | logger=migrator t=2025-04-11T12:35:49.154377128Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=355.792µs
grafana  | logger=migrator t=2025-04-11T12:35:49.193127878Z level=info msg="Executing migration" id="create star table"
grafana  | logger=migrator t=2025-04-11T12:35:49.211427295Z level=info msg="Migration successfully executed" id="create star table" duration=18.2975ms
grafana  | logger=migrator t=2025-04-11T12:35:49.241817753Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
grafana  | logger=migrator t=2025-04-11T12:35:49.252354045Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=10.53525ms
grafana  | logger=migrator t=2025-04-11T12:35:49.281030253Z level=info msg="Executing migration" id="Add column dashboard_uid in star"
grafana  | logger=migrator t=2025-04-11T12:35:49.291690295Z level=info msg="Migration successfully executed" id="Add column dashboard_uid in star" duration=10.659083ms
grafana  | logger=migrator t=2025-04-11T12:35:49.31789242Z level=info msg="Executing migration" id="Add column org_id in star"
grafana  | logger=migrator t=2025-04-11T12:35:49.329826962Z level=info msg="Migration successfully executed" id="Add column org_id in star" duration=11.933625ms
grafana  | logger=migrator t=2025-04-11T12:35:49.356976337Z level=info msg="Executing migration" id="Add column updated in star"
grafana  | logger=migrator t=2025-04-11T12:35:49.368647045Z level=info msg="Migration successfully executed" id="Add column updated in star" duration=11.669667ms
grafana  | logger=migrator t=2025-04-11T12:35:49.397345962Z level=info msg="Executing migration" id="add index in star table on dashboard_uid, org_id and user_id columns"
grafana  | logger=migrator t=2025-04-11T12:35:49.399558212Z level=info msg="Migration successfully executed" id="add index in star table on dashboard_uid, org_id and user_id columns" duration=2.221458ms
grafana  | logger=migrator t=2025-04-11T12:35:49.40228692Z level=info msg="Executing migration" id="create org table v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.402683878Z level=info msg="Migration successfully executed" id="create org table v1" duration=396.917µs
grafana  | logger=migrator t=2025-04-11T12:35:49.403693878Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.403959628Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=265.584µs
grafana  | logger=migrator t=2025-04-11T12:35:49.405039378Z level=info msg="Executing migration" id="create org_user table v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.40537167Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=332.125µs
grafana  | logger=migrator t=2025-04-11T12:35:49.406368753Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.406639837Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=271.208µs
grafana  | logger=migrator t=2025-04-11T12:35:49.40839992Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.408633962Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=234.208µs
grafana  | logger=migrator t=2025-04-11T12:35:49.409715587Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.409933003Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=217.417µs
grafana  | logger=migrator t=2025-04-11T12:35:49.411030212Z level=info msg="Executing migration" id="Update org table charset"
grafana  | logger=migrator t=2025-04-11T12:35:49.411043712Z level=info msg="Migration successfully executed" id="Update org table charset" duration=13.875µs
grafana  | logger=migrator t=2025-04-11T12:35:49.411963795Z level=info msg="Executing migration" id="Update org_user table charset"
